Megatrend,Area,Firm,Short Description,Keywords,Role of Utility,Website,Twitter Handle,Country,Language,Year Founded,Funding Status,Total Funding Amount (National Currency),Currency,Total Funding Amount (USD),IPO Date,,,,,,,,,,
Other,Ultra-fast Charging,StoreDot,Develops lithium-ion batteries with extreme fast charging (XFC) capability,"Battery Tech, EV Charging",Supplier,store-dot.com,@StoreDotLtd,Israel,English,2012,Private,$200M+,USD,200000000,,,,,,,,,,,
Clean Energy,Solar Tracking,Sunfolding,Produces pneumatic solar tracking systems with fewer moving parts and low O&M,"Solar Trackers, PV Hardware",,sunfolding.com,@Sunfolding,United States of America,English,2012,Private,$32M+,USD,32000000,,,,,,,,,,,
Decarbonization,Comfort,SunTrac,"A company that produces solar air conditioning systems for residential and commercial customers, offering energy savings and environmental benefits.",Saudi,,https://suntracusa.com/,@SunTracUSA,United States of America,English,2012,,,USD,,,,,,,,,,,,
Clean Energy,Solar Marine,Swimsol,Installs floating solar PV systems on lagoons for island nations,"Floating Solar, Marine Energy",,swimsol.com,,Austria,English,2012,Private,,USD,,,,,,,,,,,,
Digitalization,AI,Tempus Energy,Connects customers with cheapest flexible energy source using AI,,,https://www.linkedin.com/company/tempus-energy-limited/about/,@tempusenergy,United Kingdom,English,2012,,,USD,,,,,,,,,,,,
Decarbonization,Fertilizers,The Nitrogen company,"Our company uses a novel plasma system to produce nitrogen fertilizer from renewable electricity, unprocessed water and air. Our company will avoid CO2 emissions from conventional fertilizer production, reduce nitrogen pollution to waterways and provide huge benefits to electric grids.",,,https://thenitrogencompany.com/,,United States of America,English,2012,,,USD,,,,,,,,,,,,
Clean Energy,Home Energy Efficiency,Thermondo,Offers solar panels and heat pumps for residential retrofits in Germany,"Heat Pumps, Home Decarbonization",,thermondo.de,@thermondo,Germany,German,2012,Private,€100M+,USD,112500000,,,,,,,,,,,
Other,Smart Grid Software,Tiko Energy Solutions,Offers demand-side energy flexibility services to grid operators and utilities,"Smart Grid, VPP, Demand Response",Utility Partner,tiko.energy,@tiko_energy,Switzerland,English,2012,Private,CHF 50M+,USD,60150000,,,,,,,,,,,
Decarbonization,Comfort,Ventive,"Ventive Home is a smart, whole house retrofit solution based on Ventive’s patented intelligent ventilation system – offering zero carbon heating via a heat pump, ventilation for healthier living, passive cooling, hot water, electrical battery, thermal heat storage supplied by fellow Energy Launchpad alumni Edinburgh-based Sunamp, metering, monitoring and intelligent control – all in one box.",Ventilation,,ventive.co.uk,@ventiveltd,United Kingdom,English,2012,,"£5,500,000",USD,7315000,,,,,,,,,,,
Fintech & Payments,Freyr Energy,Freyr Energy - Innovation Area,Freyr Energy is a startup focused on sustainability solutions.,"freyr energy, sustainability",Environmental Impact,https://www.freyrenergy.com,https://twitter.com/freyrenergy,Germany,English,2012,Seed,$81M,USD,104694079,,,,,,,,,,,
Fintech & Payments,Volocopter,Volocopter - Innovation Area,Volocopter is a startup focused on sustainability solutions.,"volocopter, sustainability",Environmental Impact,https://www.volocopter.com,https://twitter.com/volocopter,USA,English,2012,Series C,$31M,USD,137517320,,,,,,,,,,,
Sustainable Mobility,BluSmart,BluSmart - Innovation Area,BluSmart is a startup focused on sustainability solutions.,"blusmart, sustainability",Environmental Impact,https://www.blusmart.com,https://twitter.com/blusmart,India,English,2012,Seed,$72M,USD,28634985,,,,,,,,,,,
Clean Energy,Common Energy,Common Energy - Innovation Area,Common Energy is a startup focused on sustainability solutions.,"common energy, sustainability",Environmental Impact,https://www.commonenergy.com,https://twitter.com/commonenergy,Germany,English,2012,Seed,$58M,USD,116842010,,,,,,,,,,,
Other,Electric Mobility,Adaptive City Mobility,Developed lightweight electric vehicles with swappable batteries for urban mobility; company filed for insolvency in 2022.,"Electric Vehicles, Urban Mobility",,,,Germany,German,2013,Insolvent,,USD,,,,,,,,,,,,
Other,Circular Economy Packaging,Algramo,Chilean startup offering reusable packaging solutions to reduce plastic waste and promote circular consumption models.,"Reusable Packaging, Circular Economy",,algramo.com,,Chile,Spanish,2013,Private,,USD,,,,,,,,,,,,
Digitalization,Fast charging,Amply Power,Amply Power is a US-based startup that provides managed charging services for commercial electric fleets. The company uses artificial intelligence and machine learning to optimize charging schedules and reduce energy costs.,,,,,United States of America,English,2013,M&A,"$16,400,000",USD,16400000,,,,,,,,,,,
Other,Cooling Technology,Axiom Exergy,Refrigeration energy storage systems for supermarkets and cold chains,"Energy storage, Cooling",,axiomexergy.com,,United States of America,English,2013,Private,,USD,,,,,,,,,,,,
Other,Proptech,Betterspace,Digital heating optimization and building energy efficiency in hospitality,"HVAC, Smart Buildings",,betterspace360.com,,Germany,German,2013,Private,,USD,,,,,,,,,,,,
Other,Bioenergy,Bio-Bean,Converts used coffee grounds into biofuels like coffee logs and pellets,"Biomass, Circular Economy",,bio-bean.com,,United Kingdom,English,2013,Private,£5M,USD,6650000,,,,,,,,,,,
Digitalization,Data,ConnectDER,ConnectDER make products that integrate power and data from residential scale DERs into the grid.,,,,@connectder,United States of America,English,2013,,,USD,,,,,,,,,,,,
Electrification,Fast charging,Electreon,"Electreon is the leading provider of wireless charging solutions for electric vehicles (EVs). We deliver cost-effective, end-to-end charging infrastructure and services, including dynamic charging wireless Electric Roads, to fleet operators via flexible business models to accelerate electric vehicle adoption.",,,electreon.com,@Electreon,Israel,English,2013,,,USD,,,,,,,,,,,,
Other,Smart Roads,ElectRoad,Wireless electric road infrastructure to charge vehicles in motion,"Wireless Charging, EV",,electroad.me,,Israel,English,2013,Private,,USD,,,,,,,,,,,,
Digitalization,AI,Enbala,"Uses AI and IoT technologies to manage and optimize distributed energy resources in real-time, helping utilities and grid operators to maintain grid stability and reduce carbon emissions.",Innovation,,https://www.generacgs.com/,@GeneracGS,Canada,English,2013,,,USD,,,,,,,,,,,,
Electrification,Fast charging,Envision Solar,Offers solar-powered EV charging stations and autonomous solar-powered charging solutions.,,,,,United States of America,English,2013,,,USD,,,,,,,,,,,,
Clean Energy,Transparent Solar,ErgoSun,Produces transparent solar panels for façades and integrated surfaces,"BIPV, Transparent PV",,ergosun.com,,Canada,English,2013,Private,,USD,,,,,,,,,,,,
Other,Personal Mobility,Future Motion (Onewheel),Developer of self-balancing electric boards for urban mobility,"eMobility, Personal Transport",,onewheel.com,@RideOnewheel,United States of America,English,2013,Private,,USD,,,,,,,,,,,,
Electrification,EV,GLB Intelligent Power Technologies,focusing on driving system solution development for new energy vehicle producer,,,http://www.glbpower.com/,,China,Chinese,2013,,,USD,,,,,,,,,,,,
Other,Circular Marketplace,Globechain,Online platform for reusing and redistributing commercial waste and surplus,"Circular Economy, B2B Marketplace",,globechain.com,@Globechain,United Kingdom,English,2013,Private,£6M,USD,7980000,,,,,,,,,,,
Digitalization,AI,Grid4C,Offers an AI-based predictive analytics platform for utilities to optimize grid operations and customer engagement.,Digitalization,,https://www.grid4c.com/,@Grid4Comm,United States of America,English,2013,,,USD,,,,,,,,,,,,
Decarbonization,Concentrated Solar,Heliogen,Heliogen is a renewable energy technology company unlocking the power of sunlight to replace fossil fuels,,,heliogen.com,@heliogeninc,United States of America,English,2013,IPO,"$332,550,000",USD,332550000,,,,,,,,,,,
Other,Nuclear Fusion,Helion Energy,Building compact fusion reactors for grid-scale electricity,"Fusion Energy, Plasma, Tokamak",,helionenergy.com,@Helion_Energy,United States of America,English,2013,Private,$600M+,USD,600000000,,,,,,,,,,,
Other,Hydrogen Storage,Hydrogenious LOHC,Uses Liquid Organic Hydrogen Carriers (LOHC) for safe hydrogen transport,"Hydrogen Storage, Logistics",,hydrogenious.net,@Hydrogenious,Germany,English,2013,Private,€45M,USD,50625000,,,,,,,,,,,
Clean Energy,Off-grid Solar,Kingo Energy,Provides solar pay-as-you-go energy systems to rural communities in LatAm,"Off-grid Solar, Energy Access",Utility Partner,kingoenergy.com,@KingoEnergy,Guatemala,Spanish,2013,Private,$30M+,USD,30000000,,,,,,,,,,,
Digitalization,Digital Platform,Kisensum,"Kisensum is a US-based startup that offers a software platform for managing distributed energy resources, such as energy storage and electric vehicle charging. The platform helps utilities and energy providers to optimize the use of DERs and reduce costs.",,,,,United States of America,English,2013,Acquired by Charge point,,USD,,,,,,,,,,,,
Decarbonization,Comfort,Mixergy,"Mixergy has designed an innovative, smart hot water storage tank that allows consumers to heat only the water they need, in contrast to conventional hot water tanks which heat all or nothing. This saves on energy, cost and carbon emissions.",heat water,,https://www.mixergy.co.uk/,@MixergyLtd,United Kingdom,English,2013,,"£12,800,000",USD,17024000,,,,,,,,,,,
Digitalization,Digital Platform,Piclo energy,The leading independent marketplace for flexibility services.,,,,@PicloEnergy,United Kingdom,English,2013,,,USD,,,,,,,,,,,,
Other,Microgrids / Storage,Quiñat Energy (Qinous),"Develops integrated energy storage and microgrid systems, now part of Rolls-Royce","Microgrid, Energy Access",,qinous.de,,Germany,English,2013,Acquired (Rolls-Royce),,USD,,,,,,,,,,,,
Digitalization,AI,Sense,Offers a home energy monitoring system that uses machine learning to provide insights into energy usage and device-level consumption.,Digitalization,,https://sense.com/,@Sense,United States of America,English,2013,,,USD,,,,,,,,,,,,
Digitalization,Demand management,Spark meter,"SparkMeter offers grid-management solutions that enable utilities in emerging markets to run financially-sustainable, efficient, and reliable systems.",,,,@SparkMeter,United States of America,English,2013,,,USD,,,,,,,,,,,,
Clean Energy,Solar Irrigation,SunCulture,Provides solar-powered irrigation and water pumps for smallholder farmers,"Solar Agriculture, Rural Development",Utility Partner,sunculture.io,@SunCultureKenya,Kenya,English,2013,Private,$35M+,USD,35000000,,,,,,,,,,,
Clean Energy,Solar AgTech,SunCulture (dup),Offers solar-powered irrigation and agri-services to smallholder farmers,"Solar Irrigation, Smart Farming",Utility Partner,sunculture.io,@SunCultureKenya,Kenya,English,2013,Private,$35M+,USD,35000000,,,,,,,,,,,
Digitalization,AI,Sync Energy,"Sync Energy is developing AI-based predictive software that streamlines planning and operations for electrical utilities, especially during emergencies.",Predictive software for planning,,https://syncenergy.com/,@GreenSync,,English,2013,,,USD,,,,,,,,,,,,
Decabonization,Data,Synvertec,Facilitate integration of renewables and DERs into more stable grids,,,,,Israel,English,2013,,,USD,,,,,,,,,,,,
Other,Electric Trucks,Tevva,Builds medium- and heavy-duty electric and hydrogen-electric trucks in the UK,"eMobility, Hydrogen Transport",,tevva.com,@TevvaTruck,United Kingdom,English,2013,Private,$140M+,USD,140000000,,,,,,,,,,,
Other,Ocean Plastic Cleanup,The Ocean Cleanup,Develops large-scale systems to remove plastic from oceans and rivers,"Marine Cleanup, Plastic Pollution",,theoceancleanup.com,@TheOceanCleanup,Netherlands,English,2013,Nonprofit,$150M+,USD,150000000,,,,,,,,,,,
Electrification,EV,Turntide,Reducing energy consumption with the world’s first sustainable electric motor designed with digital DNA,,,,@turntidetech,United States of America,English,2013,,,USD,,,,,,,,,,,,
Clean Energy,Solar Façade Materials,Wellsun,Develops translucent solar panels for integration into glass façades and buildings,"BIPV, Solar Aesthetics",,wellsun.nl,,Netherlands,English,2013,Private,€5M+,USD,5625000,,,,,,,,,,,
Decarbonization and digitalizaiton,AI,Wondrwall,"Wonderwall is a technology company that combine intelligent AI powered home automation, clean energy production and super-efficient heating systems, to help homes save money, time and the environment.",Technology aggregation,,wondrwall.co.uk,@Wondrwall,United Kingdom,English,2013,,,USD,,,,,,,,,,,,
Other,Smart Lighting,Zettasense,Delivers smart building solutions focusing on lighting and energy efficiency,"Smart Lighting, Buildings",Service,zettasense.co.uk,@ZettaSense,United Kingdom,English,2013,Private,£4.2 million,USD,5586000,,,,,,,,,,,
Other,Biomanufacturing,Zymergen (now part of Ginkgo Bioworks),Used synthetic biology to design sustainable chemicals and materials,"BioTech, Green Chemistry",,zymergen.com,@zymergen,United States of America,English,2013,Acquired (2022),$1B+ IPO + VC,USD,1000000000,2021,,,,,,,,,,
Digital & AI,Aerobotics,Aerobotics - Innovation Area,Aerobotics is a startup focused on sustainability solutions.,"aerobotics, sustainability",Environmental Impact,https://www.aerobotics.com,https://twitter.com/aerobotics,India,English,2013,Seed,$51M,USD,31501740,,,,,,,,,,,
Carbon Management,Meru Health,Meru Health - Innovation Area,Meru Health is a startup focused on sustainability solutions.,"meru health, sustainability",Environmental Impact,https://www.meruhealth.com,https://twitter.com/meruhealth,Germany,English,2013,Seed,$112M,USD,112342127,,,,,,,,,,,
Distributed,DER,Acadia Power,"Arcadia Power is a fast-growing technology company revolutionizing the utility industry by making clean energy an easy choice for everyone. The company's nationwide energy service integrates with a customer’s current utility account to provide a modern energy experience that puts them, and the planet, first. Arcadia Power customers all over the country choose clean energy, save with solar power, lower their utility bills and track their impact ever",,,arcadiapower.com,,United States of America,English,2014,,,USD,,,,,,,,,,,,
Other,Recycling Technology,Agilyx,Develops advanced recycling technologies to convert post-use plastics into valuable products; launched joint venture Cyclyx for feedstock management.,"Recycling, Plastics",,agilyx.com,@agilyx,United States of America,English,2014,Private,$31M,$31M,,,,,,,,,,,,
Other,Recycling Technology,AMP Robotics,"Utilizes AI-powered robotics to automate the sorting of recyclables, enhancing efficiency and accuracy in waste management. ampsortation.com","AI, Robotics, Recycling",,ampsortation.com,,United States of America,English,2014,Private,,USD,,,,,,,,,,,,
Electrification,EV,Ample,"Using modular battery swapping, Ample can deliver 100% charge to any EV in under 10 minutes. As battery density increases, Ample maintains the same delivery efficiency",,,,,Spain,Spanish,2014,,,USD,,,,,,,,,,,,
Clean Energy,Solar Energy,Apollo Power,"Manufactures flexible, lightweight solar films suitable for various applications, including automotive and infrastructure. Apollo Power | Creating Future Energy",Flexible Solar Panels,,apollo-power.com,,Israel,English,2014,Private,,USD,,,,,,,,,,,,
Digitalization,Data,Arcadia,Home energy platform providing clean energy and savings.,,,https://www.arcadia.com/,@arcadia,United States of America,English,2014,,,USD,,,,,,,,,,,,
Other,Circular Economy,BackMarket,Marketplace for refurbished electronics to reduce e-waste,"Refurbishment, E-waste",,backmarket.com,@backmarket,France,English,2014,Private,€276M,USD,310500000,,,,,,,,,,,
Digitalization,Buildings,Blue Pillar,Provides an IoT-based energy management platform for commercial and industrial buildings.,Digitalization,,https://www.bluepillar.com/,@bluepillarinc,United States of America,English,2014,,,USD,,,,,,,,,,,,
Other,Energy Provider,Bright Energy,Offers clean energy solutions with digital management platforms for emerging markets.,"Renewable Energy, Digital Solutions",Provider,bright.com.mx,@brightenergyMX,Mexico,"Spanish, English",2014,Private,MXN 750 million,USD,38250000,,,,,,,,,,,
Clean Energy,Solar for Homes,Bright Energy (Mexico),Offers solar panel solutions with financing options for residential customers,"Solar Energy, Fintech",,bright.mx,@BrightMexico,Mexico,Spanish,2014,Private,$50M,USD,50000000,,,,,,,,,,,
Digitalization,AI,Camus,Our grid management platform provides system-wide visibility and advanced control for the distributed energy future. Our software utilizes proven artificial intelligence and machine learning techniques to seamlessly integrate data from disparate sources to create always-on grid visibility and orchestration.,,,https://www.camus.energy/,@CamusEnergy,United States of America,English,2014,,,USD,,,,,,,,,,,,
Other,Carbon Upcycling,Carbon Upcycling,Transforms captured CO₂ into nanomaterials and additives for industrial use,"CO₂ Valorization, Nanomaterials",,carbonupcycling.com,,Canada,English,2014,Private,,USD,,,,,,,,,,,,
Digital & AI,Air Quality Tech,Clarity Movement,Provides hyperlocal air quality sensors and data analytics platforms,"Air Monitoring, Environmental Tech",,clarity.io,@clarity_io,United States of America,English,2014,Private,$20M,USD,20000000,,,,,,,,,,,
Other,Flow Batteries,Elestor,Developer of large-scale hydrogen-bromine flow batteries for grid storage,"Flow Batteries, Long Duration",,elestor.com,,Netherlands,English,2014,Private,€35M,USD,39375000,,,,,,,,,,,
Other,EV Charging Hardware,EO Charging,Supplies EV fleet charging stations for commercial transport fleets,"EV Charging, Fleet Solutions",,eocharging.com,@EOCharging,United Kingdom,English,2014,Private,£38M,USD,50540000,,,,,,,,,,,
Digitalization,AI,EQuota,"Energy management platform using AI and big data technologies for energy efficiency optimization, operation & maintenance monitoring, carbon emission management, energy planning, electricity trading services, micro-grid services",smart energy management solutions,,http://equotaenergy.com/en/,,China,Chinese,2014,,,USD,,,,,,,,,,,,
Other,,Evrnu,@Evrnu,USA,English,2014,Private,United States of America,English,2014,Private,$31M,$31M,310000,,,,,,,,,,,
Other,Hydrogen Infrastructure,First Element (CA),Operates True Zero hydrogen fueling stations across California,"Hydrogen, Mobility Infrastructure",,truezero.com,,United States of America,English,2014,Private,,USD,,,,,,,,,,,,
Electrificaction,Fast charging,Free wire tech,We deliver flexible ultrafast charging to meet EV charging demand whenever and wherever it's needed for reliable electrification beyond the grid #greenenergy,,,https://freewiretech.com/,@FreeWireTech,United States of America,English,2014,,,USD,,,,,,,,,,,,
Electrification,Fast charging,FreeWire Technologies,"FreeWire Technologies is a US-based startup that has developed mobile EV charging stations that can be deployed in a variety of locations, including parking lots, workplaces, and events. The company's charging stations are powered by renewable energy sources.",,,,,United States of America,English,2014,Late Stage Venture,"$230,156,275",USD,230156275,,,,,,,,,,,
Electrification,EV,Hozonauto,Manufacturing of electric vehicle,,,,,China,Chinese,2014,,,USD,,,,,,,,,,,,
Decarbonization,Alternative generation,Hydro Wind Energy,"A hybrid energy system that harnesses offshore wind altitude using kits or vertical axis wind rotors combined with subsea oceanic pressure to provide reliable, low-cost clean electrical energy and grid scale energy storage.","Wind, Renewable Energy, Clean Energy",,https://hw.energy/energy/,@HydroWindEnergy,United Arab Emirates,Arabic,2014,,"$57,920,889",USD,57920889,,,,,,,,,,,
Digitalization,AI,Innowatts,"Use AI to unlock meter-level data, provide consumer insights and make businesses processes automated and smarter for energy retailers, utilities and grid operators.",Data,,https://www.innowatts.com/,,United States of America,English,2014,,,USD,,,,,,,,,,,,
Other,Aerial Monitoring,Kairos Aerospace,Detects methane leaks via aircraft-mounted sensors for oil & gas infrastructure,"Methane Detection, Aerial Sensing",,kairosaerospace.com,@KairosAero,United States of America,English,2014,Private,$75M,USD,75000000,,,,,,,,,,,
Distributed,DER,ME SOLshare,democratizes energy by developing peer-to-peer microgrids,,,https://me-solshare.com/,,Bangladesh,English,2014,,,USD,,,,,,,,,,,,
Clean Energy,Solar EV Charging,Nanosun (PV),Manufactures mobile solar charging units and flexible PV for remote operations,"Off-grid Solar, Portable PV",,nanosun.cz,,Czech Republic,English,2014,Private,,USD,,,,,,,,,,,,
Electrification,EV,Nio,"smart electric vehicle, from design to the manufacturing of key components",,,,,China,Chinese,2014,,,USD,,,,,,,,,,,,
Other,Plastic-Free Packaging,Notpla,Makes edible and compostable packaging from seaweed to replace plastic,"Seaweed Packaging, Zero Waste",,notpla.com,@Notpla,United Kingdom,English,2014,Private,£15M,USD,19950000,,,,,,,,,,,
Digitalization,AI,OhmConnect,OhmConnect is a startup that uses machine learning and artificial intelligence to create virtual power plants that can balance the grid and reduce the need for fossil fuel-based power plants.,"Innovative, Distributed, electrification",,https://www.ohmconnect.com/,@ohmconnect,United States of America,English,2014,,,USD,,,,,,,,,,,,
Other,Synthetic Dairy,Perfect Day,Produces animal-free dairy proteins via precision fermentation,"Alt-Dairy, FoodTech, Fermentation",,perfectday.com,@PerfectDayFoods,United States of America,English,2014,Private,$750M+,USD,750000000,,,,,,,,,,,
Distributed,Alternative generation,Physee,"Physee produces fully transparent and colorless electricity-generating windows. The electrical efficiency, transparency and isolation values can be produced to fit specific projects. Furthermore, the company produces a data-generating window that enables a building owner to better cool, heat and light the building in a proactive way to reduce the energy bill.",,,https://www.physee.eu/,,Netherlands,English,2014,,,USD,,,,,,,,,,,,
Other,Vertical Farming,Plenty,Indoor vertical farming startup growing pesticide-free produce in smart farms,"Indoor Agriculture, Controlled Env",,plenty.ag,@plenty,United States of America,English,2014,Private,$940M+,USD,940000000,,,,,,,,,,,
Other,Power-to-Gas,Power-to-Gas (Electrochaea),Produces renewable methane from CO₂ and hydrogen using archaea microbes,"Power-to-Gas, Biomethane",,electrochaea.com,@electrochaea,Germany,English,2014,Private,€40M+,USD,45000000,,,,,,,,,,,
Other,Smart Agriculture,Prospera,AI-driven ag analytics platform for monitoring crops and optimizing yields,"Precision Agriculture, IoT",,prospera.ag,,Israel,English,2014,Acquired (by Valmont),$22M+,USD,22000000,,,,,,,,,,,
Other,EV Software,Remix (Via),Built public transit planning tools and route optimization before being acquired,"Urban Mobility, Route Optimization",,via.com (acquired),,United States of America,English,2014,Acquired (Via),$27M (pre-acquisition),USD,27000000,,,,,,,,,,,
Electrification,Fast charging,Revterra,Houston startup developing modular kinetic battery for high-power EV charging stations,,,https://www.revterra.io/,@revterra,United States of America,English,2014,,,USD,,,,,,,,,,,,
Other,Nuclear Reactors,Seaborg Technologies,Develops compact molten salt nuclear reactors for clean baseload power,"SMRs, Molten Salt, Nuclear",,seaborg.tech,@SeaborgTech,Denmark,English,2014,Private,€25M+,USD,28125000,,,,,,,,,,,
Decarbonization,Buildings,Sero,"Sero delivers whole-life solutions for Net Zero that covers buildings, construction, energy, lifestyles and financing. They aim is to create a community of homes that can intelligently support the wider energy system and comfort-as-a-service offerings that cover heat, power and transport for consumers.","Comfort market, energy services",,sero.group,@Sero_group,United Kingdom,English,2014,,"£11,500,000",USD,15295000,,,,,,,,,,,
Other,Airborne Wind,SkySails Power,Develops airborne wind energy systems using tethered kites,"Wind Energy, Airborne Generation",,skysails-power.com,@SkySailsGroup,Germany,English,2014,Private,€15M+,USD,16875000,,,,,,,,,,,
Other,Carbon Capture Tech,Skytree,Captures CO₂ from ambient air for indoor use in greenhouses and aquariums,"Direct Air Capture, Indoor CO₂",,skytree.eu,@skytreeeu,Netherlands,English,2014,Private,€15M+,USD,16875000,,,,,,,,,,,
Clean Energy,Solar Art + Tech,SmartFlower Solar,"Solar panels designed as sculptural, sun-tracking flowers for residential use","Solar Tracking, Aesthetic Solar",,smartflower.com,@smartflower,Austria,English,2014,Private,$25M+,USD,25000000,,,,,,,,,,,
Other,Wind Turbine Monitoring,Smartive,AI-based predictive maintenance platform for wind turbines,"Wind O&M, Predictive Analytics",,smartive.eu,@smartive_eu,Spain,English,2014,Private,€2M+,USD,2250000,,,,,,,,,,,
Clean Energy,Off-grid Solar,Solaris Offgrid,Offers solar pay-as-you-go and productive use energy solutions for rural areas,"Off-grid Solar, Inclusive Tech",,solarisoffgrid.com,@Solaris_Offgrid,Spain,English,2014,Private,€2M+,USD,2250000,,,,,,,,,,,
Clean Energy,Urban Infrastructure,Soofa,Produces solar-powered digital signage and charging stations for public spaces,"Smart Cities, Urban Solar",,soofa.co,@mysoofa,United States of America,English,2014,Private,$10M+,USD,10000000,,,,,,,,,,,
Clean Energy,Water Generation,Source Global,Creates drinking water from air using hydropanels powered by solar energy,"Atmospheric Water, Solar",Equipment,source.co,@SourceWater,United States of America,English,2014,Private,$150 million,USD,150000000,,,,,,,,,,,
Clean Energy,Atmospheric Water,Source Global (Zero Mass Water),Produces clean drinking water from air via solar-powered panels,"Atmospheric Water, Off-grid Access",,source.co,@sourcewaterco,United States of America,English,2014,Private,$150M+,USD,150000000,,,,,,,,,,,
Decarbonization,Alternative generation,"Spark Thermionics, Inc.","Spark Thermionics is building a power-plant on a chip, a generator that can efficiently convert any fuel to electricity at 1/10th the size and weight of the state-of-the-art.",,,http://www.sparkthermionics.com/,,United States of America,English,2014,,,USD,,,,,,,,,,,,
Other,Smart Tourism,Tiqets,"Online platform for booking cultural attractions, enabling paperless experiences","Digital Travel, Sustainability",,tiqets.com,@Tiqets,Netherlands,English,2014,Private,$100M+,USD,100000000,,,,,,,,,,,
Other,Urban Mobility,Trinity Mobility,Provides integrated platforms for managing public transportation in smart cities,"Transit Software, Smart City Infra",,trinitymobility.com,,India,English,2014,Private,,USD,,,,,,,,,,,,
Electrification,EV,Yudoauto,Electric vehicle manufacturing,,,,,China,Chinese,2014,,,USD,,,,,,,,,,,,
Sustainable Mobility,Urban Mobility,Zipline,"Uses drones to deliver medical and essential goods, reducing emissions and road use","Drone Logistics, Healthcare Access",,flyzipline.com,@Zipline,United States of America,English,2014,Private,$500M+,USD,500000000,,,,,,,,,,,
Sustainable Mobility,Zipline,Drone Logistics,Delivers medical supplies via autonomous drones to remote regions.,"drones, logistics, healthcare",Health Supply Chain,https://www.flyzipline.com,https://twitter.com/zipline,USA,English,2014,Series E,$483M,USD,483000000,,,,,,,,,,,
Sustainable Mobility,Northvolt,Northvolt - Innovation Area,Northvolt is a startup focused on sustainability solutions.,"northvolt, sustainability",Environmental Impact,https://www.northvolt.com,https://twitter.com/northvolt,Germany,English,2014,Series A,$98M,USD,44935141,,,,,,,,,,,
HealthTech,eFishery,eFishery - Innovation Area,eFishery is a startup focused on sustainability solutions.,"efishery, sustainability",Environmental Impact,https://www.efishery.com,https://twitter.com/efishery,Netherlands,English,2014,Seed,$26M,USD,120192587,,,,,,,,,,,
Circular Economy,Aruna Revolution,Aruna Revolution - Innovation Area,Aruna Revolution is a startup focused on sustainability solutions.,"aruna revolution, sustainability",Environmental Impact,https://www.arunarevolution.com,https://twitter.com/arunarevolution,India,English,2014,Seed,$11M,USD,21821444,,,,,,,,,,,
Sustainable Mobility,Moveworks,Moveworks - Innovation Area,Moveworks is a startup focused on sustainability solutions.,"moveworks, sustainability",Environmental Impact,https://www.moveworks.com,https://twitter.com/moveworks,India,English,2014,Series A,$98M,USD,19385306,,,,,,,,,,,
AgriTech,Enpal,Enpal - Innovation Area,Enpal is a startup focused on sustainability solutions.,"enpal, sustainability",Environmental Impact,https://www.enpal.com,https://twitter.com/enpal,Germany,English,2014,Series C,$36M,USD,126782716,,,,,,,,,,,
HealthTech,Ocean Oasis,Ocean Oasis - Innovation Area,Ocean Oasis is a startup focused on sustainability solutions.,"ocean oasis, sustainability",Environmental Impact,https://www.oceanoasis.com,https://twitter.com/oceanoasis,India,English,2014,Series A,$79M,USD,84196103,,,,,,,,,,,
Digital & AI,Tulu,Tulu - Innovation Area,Tulu is a startup focused on sustainability solutions.,"tulu, sustainability",Environmental Impact,https://www.tulu.com,https://twitter.com/tulu,UK,English,2014,Series B,$59M,USD,73360443,,,,,,,,,,,
HealthTech,Lyra Health,Lyra Health - Innovation Area,Lyra Health is a startup focused on sustainability solutions.,"lyra health, sustainability",Environmental Impact,https://www.lyrahealth.com,https://twitter.com/lyrahealth,UK,English,2014,Series A,$20M,USD,100743074,,,,,,,,,,,
Digitalization,AI,Airwing,"using drone for power lines, wind and solar power plants inspection",new application of drone technology with support of AI and data collection,,http://www.airwing.ai/,,China,Chinese,2015,,,USD,,,,,,,,,,,,
Decarbonization,Alternative generation,Amogy,We are building a novel portable carbon-free energy system using ammonia as a renewable fuel.,,,https://amogy.co/,@amogyinc,United States of America,English,2015,Early Stage Venture,"$219,300,000",USD,219300000,,,,,,,,,,,
Digitalization,AI,Ampx,"Amp X’s digital energy assistant, ALICE, makes autonomous demand-side-response decisions based on real-world market signals. With advanced analytics, artificial intelligence and user-centred autonomous control, Alice is able to schedule energy usage by household devices’ when the energy is greenest and cheapest. This requires minimal effort on the user’s part, while ensuring their comfort is preserved. Users could additionally get paid by local networks companies when their energy consumption flexibility helps keep the electricity grid stable.",Demand response,,https://ampx.energy/,,,English,2015,,,USD,,,,,,,,,,,,
Digital & AI,AgTech / Soil Health,Biome Makers,Provides soil intelligence and biological data for sustainable agriculture,"Soil Health, Microbiome",,biomemakers.com,,Spain,English,2015,Private,€24M,USD,27000000,,,,,,,,,,,
Other,Wind Power,Borealis Wind,Provides turbine-mounted blade heating systems to prevent ice buildup,"Wind, Anti-icing, Efficiency",,borealiswind.com,,Canada,English,2015,Private,,USD,,,,,,,,,,,,
Electrification,Comfort,Bristol Energy,"Bristol Energy became the first energy supplier in the UK to trial HaaS, selling both fixed and pay-as-you-go heat plans to domestic customers. With HaaS, customers buy hours of warmth in their home called ‘warm hours’ instead of purchasing energy units (kWh).","Comfort market, energy services",,bristol-energy.co.uk,@BristolEnergy,Germany,English,2015,,,USD,,,,,,,,,,,,
